4a496b39-82fd-4c0c-9612-661667480341,,,,,,,[],,material_spec,,"{'id': '901ee93f-6feb-499a-863b-f37e5203f126', 'scope': 'auto', 'type': 'link_by_uid'}",None,,Ni in AAA06,[],,,material_spec
97f52433-7afe-4afe-a8e0-6cf83a12d4ee,,,,,,,[],,process_spec,,"{'id': '5d66410b-b520-49a7-8181-d32811699cb6', 'scope': 'auto', 'type': 'link_by_uid'}",None,,Adding Ni for AAA06,[],,,process_spec
901ee93f-6feb-499a-863b-f37e5203f126,,,,,,,[],,material_template,Individual ingredient of a composition,,,,Element,,,,material_template
b873f38d-f1b7-4fb3-9463-6b285e7e25cf,,,None,,,None,[],[],ingredient_run,,,None,None,Alloy (AAA09-VAM-B): Traveler Ing.,[],None,,ingredient_run
db5a2324-479c-4fb3-93a7-7485f35d8278,,,,None,,,"['composition_id::AAA09', 'batch::B', 'fabrication_method::VAM']",,process_run,,,None,,Extract sample from Alloy (AAA09-VAM-B): Traveler,[],,,process_run
43fc033e-8925-4d0f-a3cc-333815d34575,None,,,,,,"['composition_id::AAA09', 'batch::B', 'fabrication_method::VAM']",,material_run,,,None,,Alloy (AAA09-VAM-B): Traveler,[],,,material_run
58623f1a-78d8-447a-ac7b-4bbf55b33716,,,None,,,None,[],[],ingredient_spec,,,None,None,Alloy (AAA09-VAM-B): Traveler Ing.,[],None,,ingredient_spec
0bcea2e7-37e7-4bb8-8db1-4cc44cdaf1b5,,,,,,,[],,measurement_spec,,"{'id': 'f37caa70-3c54-4ea8-b48d-da9b760f25fd', 'scope': 'auto', 'type': 'link_by_uid'}",None,,Tensile charact. for Alloy (AAA09-VAM-B) (T08),[],,,measurement_spec
f37caa70-3c54-4ea8-b48d-da9b760f25fd,,,,,,,[],,measurement_template,Tensile measurement,,,,Tensile,,,,measurement_template
b0eea4d3-a3b6-4115-a32e-6711e46d249c,,,None,,,None,[],[],ingredient_run,,,None,None,Alloy (AAA13-VAM-B): Traveler Ing.,[],None,,ingredient_run
a49ac9f4-2a24-4442-b5e9-834548a36327,,,,None,,,"['composition_id::AAA13', 'batch::B', 'fabrication_method::VAM']",,process_run,,,None,,Extract sample from Alloy (AAA13-VAM-B): Traveler,[],,,process_run
82c2a8d3-9e2a-44d3-82e1-add146c4e30f,None,,,,,,"['composition_id::AAA13', 'batch::B', 'fabrication_method::VAM']",,material_run,,,None,,Alloy (AAA13-VAM-B): Traveler,[],,,material_run
eee06866-9948-4cd9-8d7e-29c10d20c850,,,None,,,None,[],[],ingredient_spec,,,None,None,Alloy (AAA13-VAM-B): Traveler Ing.,[],None,,ingredient_spec
