cdf4487a-8404-45f9-b8cb-67d23ef1afd8,,,[],,,,,,,,,None,"{'id': 'a7dcab73-acb6-41ae-86fa-0dafd5e0da64', 'scope': 'auto', 'type': 'link_by_uid'}",process_spec,[],Mix elements of AAC04,,process_spec
18f126e4-807e-426c-90fa-335155007fce,,,[],,,Alloy generated with a unique composition and synthesis parameters,,,,,,,,material_template,,Alloy,,material_template
132de734-141b-49e6-9b97-618705b1d899,,,[],,,,,,,,,None,"{'id': 'bce1a25f-a686-4286-b393-8002af99b96c', 'scope': 'auto', 'type': 'link_by_uid'}",process_spec,[],Extract sample from Alloy (AAB08-VAM-A): Traveler,,process_spec
69e4e556-0746-4163-a353-0f7a17e5effe,None,[],[],,None,,,None,,,None,None,,ingredient_run,[],"Alloy (AAA14-VAM-B): T. Sample (XRD, T02) Ing.",,ingredient_run
aeb1d937-88ae-4735-8a84-7b44336c2751,,,[],None,,,,,,,,None,,process_run,[],Aggregating XRD samples,,process_run
a7598d7e-4260-49f1-b2a2-0ec6fe5a7645,,,"['composition_id::AAA14', 'batch::B', 'fabrication_method::VAM']",,,,None,,,,,None,,material_run,[],"Alloy (AAA14-VAM-B): T. Sample (XRD, T02)",,material_run
70cf0120-eed4-4752-81f5-4d69985b6fc7,None,[],[],,None,,,None,,,None,None,,ingredient_spec,[],"Alloy (AAA14-VAM-B): T. Sample (XRD, T02) Ing.",,ingredient_spec
c17bcd18-aa0c-4bc7-ad7a-e2849c02057c,,,[],,,,,,,,,None,"{'id': '6c24f8cc-e763-42e2-bd83-48c111e6a950', 'scope': 'auto', 'type': 'link_by_uid'}",material_spec,[],Composition AAA16,,material_spec
b083cb42-5f28-430c-95c0-938a25a99396,,,[],,,,,,,,,None,"{'id': '13048c1c-48cc-404e-8874-a885504b0415', 'scope': 'auto', 'type': 'link_by_uid'}",process_spec,[],Select AAA16,,process_spec
9e9264a7-72b4-46fa-83a0-f7f5400b1984,,,[],,,,,,,,,None,"{'id': '5d66410b-b520-49a7-8181-d32811699cb6', 'scope': 'auto', 'type': 'link_by_uid'}",process_spec,[],Adding Cr for AAC09,,process_spec
6cdc1e39-444c-4a7e-a6b3-29469e966263,None,[],[],,None,,,None,,,None,None,,ingredient_spec,[],Alloy (AAB14-VAM-A): Traveler Ing.,,ingredient_spec
d0846d77-b934-4fa2-9e57-69ba0109d27d,,,[],,,,,,,,,None,"{'id': 'bce1a25f-a686-4286-b393-8002af99b96c', 'scope': 'auto', 'type': 'link_by_uid'}",process_spec,[],Extract sample from Alloy (AAB14-VAM-A): Traveler,,process_spec
aa979a2e-6634-49d7-aa6b-f23569a47257,,,[],,,,,,,,,None,"{'id': 'b35eeea8-99ef-411e-b5b7-016c86e8176c', 'scope': 'auto', 'type': 'link_by_uid'}",material_spec,[],Alloy (AAB14-VAM-A): Traveler,,material_spec
715dca94-2c34-4817-869d-782275f2ceb5,,,[],,,None,,,,"{'default_units': 'hour', 'lower_bound': 0, 'type': 'real_bounds', 'upper_bound': 10}",,,,parameter_template,,Initial Purging Times,,parameter_template
570b6baf-7e1d-47de-9674-fb891d7de2d1,,,[],,,,,,,,,None,"{'id': '18f126e4-807e-426c-90fa-335155007fce', 'scope': 'auto', 'type': 'link_by_uid'}",material_spec,[],Arc Melted Alloy (AAC04-VAM-A),,material_spec
2a878d58-415c-46e3-8e4c-b743ef827bc8,,,[],,,,,,,,,None,"{'id': '276a9e99-c910-4de7-a4f9-bbab3cc4683c', 'scope': 'auto', 'type': 'link_by_uid'}",process_spec,[],Arc melting of Alloy (AAC04-VAM-A),,process_spec
0df5c520-a640-4b0c-9ec8-12ff61521c81,,,"['composition_id::AAC15', 'batch::A', 'fabrication_method::VAM']",,,,production,,,,,None,,material_run,[],Cr in AAC15,,material_run
1d0ac7b0-40ab-438b-8c68-4d7df0c33348,,,"['composition_id::AAC15', 'batch::A', 'fabrication_method::VAM']",None,,,,,,,,None,,process_run,[],Adding Cr for AAC15,,process_run
b9816525-6af6-4860-96a6-7ec6a5954a0e,,,[],,,,,,,,,None,"{'id': '901ee93f-6feb-499a-863b-f37e5203f126', 'scope': 'auto', 'type': 'link_by_uid'}",material_spec,[],Cr in AAC15,,material_spec
5f9a7037-a3d5-4f67-8aa9-e8aa6a86122a,None,[],[],,None,,,None,,,None,None,,ingredient_run,[],"Alloy (AAB08-VAM-A): T. Sample (SEM, T02) Ing.",,ingredient_run
02afa44b-499b-45e6-8e2d-8e5edef5e31e,,,[],None,,,,,,,,None,,process_run,[],Aggregating SEM samples,,process_run
59c0e3b0-f26f-4ef5-ad52-b4d581e38a38,,,"['composition_id::AAB08', 'batch::A', 'fabrication_method::VAM']",,,,None,,,,,None,,material_run,[],"Alloy (AAB08-VAM-A): T. Sample (SEM, T02)",,material_run
e367a80b-369e-4a24-91e4-12f222155d65,None,[],[],,None,,,None,,,None,None,,ingredient_spec,[],"Alloy (AAB08-VAM-A): T. Sample (SEM, T02) Ing.",,ingredient_spec
fd829797-28eb-47f8-9d9b-20987218a68a,None,[],[],,None,,,None,,,None,None,,ingredient_run,[],Arc Melted Alloy (AAC13-VAM-A) Ing.,,ingredient_run
b7c100bc-247f-4f4c-b3ea-7510556b59d5,,,"['composition_id::AAC13', 'batch::A', 'fabrication_method::VAM']",None,,,,,,,,None,,process_run,[],Homogenizing Alloy (AAC13-VAM-A),,process_run
6d95267e-1956-427a-acd7-c3497aeef5f8,,,"['composition_id::AAC13', 'batch::A', 'fabrication_method::VAM']",,,,None,,,,,None,,material_run,[],Arc Melted Alloy (AAC13-VAM-A),,material_run
c3c8dff2-75cf-4697-8a02-ad7b19a5f3d6,None,[],[],,None,,,None,,,None,None,,ingredient_spec,[],Arc Melted Alloy (AAC13-VAM-A) Ing.,,ingredient_spec
3a8d907d-84e8-4717-8bff-e3c39eecd9be,,,[],,,,,,,,,None,"{'id': 'bce1a25f-a686-4286-b393-8002af99b96c', 'scope': 'auto', 'type': 'link_by_uid'}",process_spec,[],Extract sample from Alloy (AAA15-VAM-B): Traveler,,process_spec
d01413e0-5d76-4a53-9657-dbf6ae7a5df6,None,[],[],,None,,,None,,,None,None,,ingredient_run,[],Composition AAC11 Ing.,,ingredient_run
bafb1c85-84ef-43d0-ad40-38748abd15b5,,,"['composition_id::AAC11', 'batch::A', 'fabrication_method::VAM']",None,,,,,,,,None,,process_run,[],Adding Fe for AAC11,,process_run
94abb858-3d01-4af9-a24f-32ee73820639,,,"['composition_id::AAC11', 'batch::A', 'fabrication_method::VAM', 'Co::10', 'Cr::5', 'Fe::5', 'Ni::50', 'V::30', 'Al::0']",,,,None,,,,,None,,material_run,"[{'filename': 'root', 'type': 'file_link', 'url': '/srv/hemi01-j01/htmdec/birdshot/final_data/AAC/VAM/A/AAC11/T01'}, {'filename': 'T05', 'type': 'file_link', 'url': '/srv/hemi01-j01/htmdec/birdshot/final_data/AAC/VAM/A/AAC11/T01/T05'}]",Composition AAC11,,material_run
a28e8a19-6444-4c7a-af7d-f2b0fee8c28f,None,[],[],,None,,,None,,,None,None,,ingredient_spec,[],Composition AAC11 Ing.,,ingredient_spec
08fd5e08-59a0-4864-9435-8f0ac9bb6afd,,,"['measurement_name::NI', 'measurement_id::T04', 'composition_id::AAC07', 'batch::A', 'fabrication_method::VAM']",None,,,,,,,,None,,measurement_run,[],NI charact. for Alloy (AAC07-VAM-A) (T04),,measurement_run
91a97a0a-6fea-4e62-89d1-7ba8c693fb39,,,"['composition_id::AAC07', 'batch::A', 'fabrication_method::VAM']",,,,None,,,,,None,,material_run,[],"Alloy (AAC07-VAM-A): T. Sample (NI, T04)",,material_run
fd495a2f-2f4a-4518-975c-fe8bf59e05c0,,,[],,,,,,,,,None,"{'id': 'd1b75282-2ab2-4e8d-9e7c-c0d35c9f3713', 'scope': 'auto', 'type': 'link_by_uid'}",measurement_spec,[],NI charact. for Alloy (AAC07-VAM-A) (T04),,measurement_spec
599e6ee4-4083-4379-82de-91ffd850281a,,,"['composition_id::AAC16', 'batch::A', 'fabrication_method::VAM']",,,,production,,,,,None,,material_run,[],Cr in AAC16,,material_run
05963762-a233-4185-80a4-23b5792b0929,,,"['composition_id::AAC16', 'batch::A', 'fabrication_method::VAM']",None,,,,,,,,None,,process_run,[],Adding Cr for AAC16,,process_run
0af6d60d-5c74-4e8f-90ea-c3b17b934a7a,,,[],,,,,,,,,None,"{'id': '901ee93f-6feb-499a-863b-f37e5203f126', 'scope': 'auto', 'type': 'link_by_uid'}",material_spec,[],Cr in AAC16,,material_spec
b6e4a73c-0c7a-4037-a898-1ca68f4c396a,None,[],[],,None,,,None,,,None,None,,ingredient_run,[],Homogenized Alloy (AAC16-VAM-A) Ing.,,ingredient_run
33e7a33d-00c8-4bc0-a12c-947d0df052bb,,,"['composition_id::AAC16', 'batch::A', 'fabrication_method::VAM']",None,,,,,,,,None,,process_run,[],Forging Alloy (AAC16-VAM-A),,process_run
e13b6529-a127-4ba2-b913-3c6ddc82d97b,,,"['composition_id::AAC16', 'batch::A', 'fabrication_method::VAM']",,,,None,,,,,None,,material_run,[],Homogenized Alloy (AAC16-VAM-A),,material_run
94c4c2a3-bd1e-482e-93ec-549aa1774029,None,[],[],,None,,,None,,,None,None,,ingredient_spec,[],Homogenized Alloy (AAC16-VAM-A) Ing.,,ingredient_spec
9a35feeb-60e6-4b68-8d98-64a07b776d5b,,,[],,,,,,,,,None,"{'id': '5d66410b-b520-49a7-8181-d32811699cb6', 'scope': 'auto', 'type': 'link_by_uid'}",process_spec,[],Adding Cr for AAA15,,process_spec
ab9f95da-4f12-4580-aed8-a5d65f1b2b69,None,[],[],,None,,,None,,,None,None,,ingredient_spec,[],Cr in AAB14 Ing.,,ingredient_spec
c686f2e7-d482-453f-8723-13f0529fc50e,,,[],,,,,,,,,None,"{'id': 'a7dcab73-acb6-41ae-86fa-0dafd5e0da64', 'scope': 'auto', 'type': 'link_by_uid'}",process_spec,[],Mix elements of AAB14,,process_spec
2a3362e8-9683-43c6-8132-1328fca2f5d0,,,[],,,,,,,,,None,"{'id': '901ee93f-6feb-499a-863b-f37e5203f126', 'scope': 'auto', 'type': 'link_by_uid'}",material_spec,[],Cr in AAB14,,material_spec
2764faaf-e178-4068-b0f2-eaca3bef6fb0,,,"['composition_id::AAA02', 'batch::B', 'fabrication_method::VAM']","{'performed_by': 'Wenle & Daniel', 'performed_date': '2022-09-27', 'type': 'performed_source'}",,,,,,,,None,,measurement_run,[],Weigh Al for AAA02,,measurement_run
e8b7cd51-626a-440c-9413-8944329bcf59,,,"['composition_id::AAA02', 'batch::B', 'fabrication_method::VAM']",,,,production,,,,,None,,material_run,[],Al in AAA02,,material_run
5ec37e18-a5b8-4a94-8040-a2035c8f441c,,,[],,,,,,,,,None,"{'id': '17d5cde1-f51d-4e68-88b3-d9fa1923cd02', 'scope': 'auto', 'type': 'link_by_uid'}",measurement_spec,[],Weigh Al for AAA02,,measurement_spec
3f41a4e8-ce72-43fc-973a-10b6fef7c42c,,,[],,,,,,,,,None,"{'id': '18f126e4-807e-426c-90fa-335155007fce', 'scope': 'auto', 'type': 'link_by_uid'}",material_spec,[],Alloy (AAC05-VAM-A),,material_spec
0f5fff49-237b-4db1-966f-6d7b866959e2,,,[],,,,,,,,,None,"{'id': 'a7dcab73-acb6-41ae-86fa-0dafd5e0da64', 'scope': 'auto', 'type': 'link_by_uid'}",process_spec,[],Mix elements of AAC05,,process_spec
ed431bc0-5590-4dfb-968a-bc6065df70e3,,,[],,,,,,,,,None,"{'id': '901ee93f-6feb-499a-863b-f37e5203f126', 'scope': 'auto', 'type': 'link_by_uid'}",material_spec,[],Cr in AAC14,,material_spec
55aa6c05-794a-4b64-b5e1-5763287cd7dc,,,[],,,,,,,,,None,"{'id': '5d66410b-b520-49a7-8181-d32811699cb6', 'scope': 'auto', 'type': 'link_by_uid'}",process_spec,[],Adding Cr for AAC14,,process_spec
