6f4ad594-21ad-4f21-8fd8-61bd1ae91e7d, Quenched EusNb2Se4 pellets (heated in sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
c8126f55-43e3-454b-81b6-ab766077aacd,EusNb2Se4 pellets (sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
e0c1a5a7-f2b9-4128-b5ee-2bffbbfea41f,Chunked Europium,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
2c29c60a-bbc7-46e3-8e8d-250f684ddc6c, Quenched EusNb2Se4 pellets (heated in sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
2f5e4f59-a48e-42a5-b650-dce774e6927e,Purchased Europium,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
347bfc18-9d00-4bc7-9fe6-9f49d419899e,EusNb2Se4 pellets (sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
a3292110-3078-4000-83f1-1cbb8544f0e1,EusNb2Se4 pellets (vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
8531b711-3de1-4750-8236-070237ad2bcb,EusNb2Se4 pellets,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_10,material_run
305b51b7-ce3c-483c-93af-f521e09bc460,Sulfur,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
cd26a0f1-c742-4ab6-9610-42d3363c573d,Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
65a6fb88-9323-4cff-a98d-69fb615fd699,Ground Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
eb249688-45ec-46f7-a811-c69dee3f28d4,"Ground EuS, Nb and Se mix",,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
1954aac4-9bc5-4d7f-84c0-0ca85d631b27,Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
481fab23-5b5f-444c-abbc-4365b8852527,EusNb2Se4 pellets (heated in sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
49490429-71fd-4cbc-9d05-43cd438af633,Ground Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
10ea2881-0d61-4f25-b544-3c02bf338dc6,Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
2ca72352-ed82-4405-8e89-e725adeec114,Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
9fda6dc7-877f-4ea4-8088-dbfd3669d95d,Ground Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
397783e2-8412-4140-acc6-14031a294e7c,Selenium,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
7d45d50a-1ca0-4542-951a-d1863f27a9ff,Ground Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
71ac5277-60ae-4f90-a3c6-1447f33558d9,Ground Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
3fbda1d3-ef94-407d-9a3d-f7ee05764e83,Europium,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
020b6fcb-72b9-4e89-b3c8-9abad4eafc61,Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
ab33e68b-475f-4dc2-b96b-5fc3d373cdd7,"ground, synthesized EuS",,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
68561207-c7ce-4c99-90bd-ddd005f53963,"ground EuS, Nb and Se mix",,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
b4cd658e-1314-4e17-bd8d-085b50a1fc3a,EusNb2Se4 pellets (sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
708391c0-f12a-438d-b4c9-cb505fce7e79,"Ground, Purified Selenium",,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
58fc2d8d-60d2-43e7-aa80-9142f64693eb,EusNb2Se4 pellets (sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_10,material_run
55d99f75-0080-4242-93bb-5a10bc6d6bba,Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
aa684896-12b2-4788-8a72-2d978690c5f4,EusNb2Se4 pellets (vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
6de68019-0eb8-4f80-8ce7-d9ff8630bfff,EusNb2Se4 pellets (vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_10,material_run
3f5509ca-3099-4cfb-b197-5de8f63a7202,Purchased Iodine,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
0a7e12a5-094c-4d93-a94c-0a8696a7e24e,Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
c7e9431a-6600-40d8-9ac6-db38a7faf106,Ground EuS and NbSe2 mix,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
1c3ef916-0c5d-43e8-84fb-63f15abbd0ab,EusNb2Se4 pellets,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
77d347a0-9071-4f1f-a404-a98a7f18d858,Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_23,material_run
9d666fb5-40de-4832-9a12-6442d2ae8996,Chunked Europium,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_13,material_run
81291da6-7583-40cb-9888-5695b62bc2ac,Purchased Selenium,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
e95f2416-1249-4596-a9e9-e426dd880a06,Synthesized NbSe2,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
ce8d6453-d0d0-48ab-b3bd-65d7a058278e, Quenched EusNb2Se4 pellets (heated in sealed vessel),,,,,,,,,,,,,,,,,,,,,,,,material_run,01_10,material_run
1f7313f0-2010-4f1a-ac39-de03af8e2c24,Purchased Niobium,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
f5078c65-8b0d-421e-8363-82eb7692a06c,Ground Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,material_run,,material_run
76706eef-9f5f-4fdf-a463-1c530872d54b,Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
fb0f584f-9825-4ad4-b818-d79d8c65511c,EusNb2Se4 pellets,,,,,,,,,,,,,,,,,,,,,,,,material_run,01_20,material_run
b9b40025-6892-403f-a65c-ed043ed5673d,EusNb2Se4 pellets (heated in sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
4433d824-107a-4d8b-aeb7-6e6ff37f8fbd,Niobium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
36f5b632-eb78-4550-88e1-c569c18b4e9f,Ground NbSe2 Mixture Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
837e7922-f865-430b-b0d0-90773ccf7f56,Ground Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
16cc58e0-ab8a-4af1-86cc-14f52b0b5639,"Ground EuS, Nb and Se mix Ingredient",,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
1a816960-7a97-454f-976e-83c0487638bc,Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
13de8a09-aa3b-413a-b622-32443578699e,EusNb2Se4 pellets Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
0a599d70-69d2-43fa-b2a3-7bb9fa3fdaf4,Chunked Europium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
d52ef262-712a-4ec0-b092-cbb867752b76,Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
4ea162ca-8d39-44bf-8c76-439bb164e0f8,Purified Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
d570d7d1-401a-4d5d-906c-ab7f03f3e228,EusNb2Se4 pellets Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
c5071972-d4f5-4ca6-9c1c-c82abedcbc9e,EusNb2Se4 pellets (sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_10,ingredient_run
8114dcdf-831b-4335-bfa0-1a6faf2b27d3,"Ground EuS, Nb and Se mix Ingredient",,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
6a94a77a-f43b-42db-b1b4-53e8aacddc77,Purified Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
51b836b8-fdbd-4a17-99fb-07773a1b134d,Ground Purified Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
012fb7f1-54f0-4495-8492-4d521deaa8a5,EusNb2Se4 pellets (sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
c273174e-3e57-40d5-94f4-318bfd88f3dd,EusNb2Se4 pellets Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_10,ingredient_run
d4492d34-ff10-403e-a68e-b3bca686a6d6,EusNb2Se4 pellets (heated in sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_10,ingredient_run
06cd0318-d081-40d6-b1f5-e0efdcdf26f8, Europium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
858de70f-3708-47bb-bcb3-7d7be2fc4ef3,EusNb2Se4 pellets (vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
b825a604-30f5-433b-8cbc-a585ec3e71fe,Iodine Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
ce35b2eb-daab-4c8e-9f69-a8cb5b363bec,Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
4c1ad96c-b596-4097-a7e9-5c6f64ce235c,Ground Purified Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
55eb1865-1117-426d-b92a-ff49225cab68,Ground Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
9a66f0b5-0073-44d2-9a23-b1e982a2e8a7,Niobium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
c100943b-4655-4ca0-ad0c-99d1e338ef4f,EusNb2Se4 pellets (sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
d1716b03-2edf-4dd8-8054-993a750703be,Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
ac6dd7e1-70ae-425b-8dbb-52bd7c43ab51,Ground NbSe2 Mixture Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
59130eef-0b9d-49be-af8c-30902d1974ed,Selenium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
177efb85-6379-43ae-a385-ea97687b6d74,Selenium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
962953ba-efe3-4b38-a626-77b2ee8f75df,Chunked Europium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
62bf2e1c-c0d1-433a-a6f4-2ee8bf01300b,EusNb2Se4 pellets Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
65a26654-4f07-43d2-b313-c41060e5ef85,Ground Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
90ab5ba3-be56-4640-bc23-4b3dd99801bf,Purified Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
ea897f16-2d21-4f07-bd41-b9bd5b245197,Ground Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
fe92c9dd-972a-44f9-ad11-270526c2e441,Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
fd8d2dfe-0af5-4222-9d13-60f9c459b6e2, Europium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
e0f36f34-a674-4b16-8271-f0be543aa26e,Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
4a1fc8b8-d49b-4044-b902-2e4584fd247d,EusNb2Se4 pellets (heated in sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
3dd8a492-d934-4f47-b6e7-0b6638094289,Ground EuS and NbSe2 mix Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
125ef471-20cd-40c7-9888-7d7ae1de74ca,Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
707db2b8-4a35-4e10-8312-2251056dcd3a,EusNb2Se4 pellets (vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_10,ingredient_run
8735afa5-f063-4b50-9c03-d044deb4906a,Ground Purified Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
8ae94f6d-c99d-4cd6-904b-09f92fd8e90d,Purified Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
76a1c623-c7e2-44a9-8891-32347b1ff940,EusNb2Se4 pellets (sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
c65a0eed-9818-4848-8223-1b150c01f6f1,Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
f1fc4493-f82a-43fe-adc2-4e707b2af82d,Chunked Europium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
8616ae4e-6bec-47a6-9d2e-238e4f95256d, Europium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
ba0339d2-c67f-44b7-8230-bd6c6bc5d77e,EusNb2Se4 pellets (heated in sealed vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
05f18a83-027e-44c2-b780-e2b05f4933ea,Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
222932f8-9c73-4707-bcce-bfad22e1e4dc,Niobium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
e3cb16eb-f924-49b6-9311-c26743ddae0b,Niobium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
f55b6a05-96e2-4522-a470-bf642f20acd2,Selenium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
d3de9c08-87cd-46fc-8a3f-a62780d997b6,Ground Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
3de294ff-70fb-4482-8599-13ac17a74404,Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
5105d714-4dee-434a-a6d8-37511905e670,Synthesized NbSe2 Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
4e2c1dd1-f10c-49b6-b7d1-12fc3f42da58,Synthesized NbSe2 Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
670ec51d-3c16-4a74-a467-efb8cdc624c7,EusNb2Se4 pellets (vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
6fbdbf9a-324a-475a-b22b-40941f741a12,EusNb2Se4 pellets (vessel) Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
bbcf0fb3-10d8-494e-b2aa-f81533966aa6,Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
675a4024-0afa-4c96-9013-f91b51d07472,Chunked Europium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
4460d8e6-e64f-45e5-8f0f-98beccebe62b, Europium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
a4d20ab7-655c-4fce-890f-acf3f4350a8e,Iodine Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
2f6e7a90-e7fe-4d14-951e-8b4bb0681dc6,Ground EuS and NbSe2 mix Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
32b9f00a-c1bc-4d67-9b7f-74d7b99abfad,Selenium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
b6866681-84a6-44fd-80f3-a353cffe8a54,Ground Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
005fff82-d01e-410b-ac15-0316648896f1,Ground Purified Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_20,ingredient_run
f3f0fd1c-ec77-4057-9e98-89ca52926978,Sulfur Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_23,ingredient_run
a48525e3-882d-4729-80a7-07af09346260,Ground Purified Selinium Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,,ingredient_run
3abce915-9fdc-4f82-94bf-3d9b9a872239,Ground Synthesized EuS Ingredient,,,,,,,,,,,,,,,,,,,,,,,,ingredient_run,01_13,ingredient_run
82965b6f-43e2-481a-99f2-48d82cd042cd,Grinding Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
bada7bac-99de-44a6-937a-73f070dee11f,Setting of EusNb2Se4 pellets in Vessel,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_10,process_run
38f27829-64d2-4ccc-ab4c-99bd8c057a71,"Grinding EuS, Nb and Se",,,,,,,,,,,,,,,,,,,,,,,,process_run,01_13,process_run
9ff862df-0ce6-4a39-b4c1-118b4f5cd7f0,Heating Selenium,,,,,ramp_up_1_time,3.75,hour,ramp_up_1_rate,100.0,degree_Celsius,dwell_1_time,12.0,hour,dwell_1_temperature,400.0,degree_Celsius,ramp_down_1_time,3.75,hour,ramp_down_1_rate,100.0,degree_Celsius,,process_run,01_23,process_run
ff08afcb-6801-4935-aa9d-2a7348c71c42,Chunking Europium,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_13,process_run
c871de89-98c2-4ed9-a9ac-43b2cb5e7a30,Heating Selenium,,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
45a426e9-c8eb-415e-b7fb-ea98478614ee,"Heating Chunked Europium,Ground Purified Sulfur",,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
783cb8d5-e246-43e7-b79f-a34523adead5,Grinding Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
d1f703bb-13cb-4eae-8575-f7bbe784d88f,Heating Sulfur,,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
7c397e07-b34c-41bb-acf4-fb877f5f099c,"Grinding Ground Synthesized EuS,Synthesized NbSe2",,,,,,,,,,,,,,,,,,,,,,,,process_run,01_23,process_run
684445b0-d039-4181-b7fc-642d6a97b5fa, Chunking Europium,,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
589762a7-3dd7-44b5-b92e-4c66ab28e289, Quenching EusNb2Se4 pellets (heated in sealed vessel),,,,,Quenching Duration,15.0,second,,,,,,,,,,,,,,,,,process_run,01_20,process_run
0a18dd82-4baf-408f-b3cc-7ef4ce6c8bda,Heating Ground NbSe2 Mixture,,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
65065b14-b240-4a37-9df1-ab7a19d5187f,Grinding synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_13,process_run
26f7bd57-7054-41b3-843b-d4c4b8e96548,Purchasing Europium,,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
5525bc03-7ed8-4551-b07a-c4fa1f0c5db8,Setting EusNb2Se4 vessel,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_13,process_run
708c5f76-20d3-4511-b57a-ad4afb41e6ac,Grinding Purified Selinium,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_20,process_run
af010cb2-1135-46f5-8848-7a2b787ed9d6,Grinding Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_13,process_run
2836469e-c644-4ff5-9875-a312bf11f860,Purchasing Niobium,,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
be514bf8-c80f-45ad-9b99-e2c1d5955b23,Setting of EusNb2Se4 pellets in Vessel,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_20,process_run
70894e5d-127c-4ea7-bdd6-c9bb80cff9df,"Heating Chunked Europium,Ground Purified Sulfur",,,,,ramp_up_1_time,0.9,hour,ramp_up_1_rate,100.0,degree_Celsius,dwell_1_time,0.0,hour,dwell_1_temperature,90.0,degree_Celsius,ramp_up_2_time,0.8333333333333334,hour,ramp_up_2_rate,50.0,degree_Celsius,,process_run,01_23,process_run
76a861e9-3825-4b84-99ac-3be7058b1ac3,Grinding Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
8a51e5e1-a9f8-4e10-9c62-669df18089c2,Sealing EusNb2Se4 pellets (vessel),,,,,,,,,,,,,,,,,,,,,,,,process_run,01_10,process_run
1bc76ff9-bd22-433c-ba61-96b29e7e2892,EuS Synthesis,,,,,ramp_up_1_time,0.9,hour,ramp_up_1_rate,100.0,degree_Celsius,dwell_1_time,0.0,hour,dwell_1_temperature,90.0,degree_Celsius,ramp_up_2_time,0.8333333333333334,hour,ramp_up_2_rate,50.0,degree_Celsius,,process_run,01_13,process_run
028fd1d3-ddad-4fab-b8e6-3795e2b7f353,Grinding Purified Selenium,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_13,process_run
46ca2fd3-c1ec-450f-9162-5a2eb795a085,"Pressing Ground EuS, Nb and Se mix",,,,,,,,,,,,,,,,,,,,,,,,process_run,01_20,process_run
94f6149f-b6bc-49d6-98e4-bd6ba7513d7d,"Heating Chunked Europium,Ground Purified Sulfur",,,,,ramp_up_1_time,0.9,hour,ramp_up_1_rate,100.0,degree_Celsius,dwell_1_time,0.0,hour,dwell_1_temperature,90.0,degree_Celsius,ramp_up_2_time,0.8333333333333334,hour,ramp_up_2_rate,50.0,degree_Celsius,,process_run,01_20,process_run
58bbce6d-2805-4a4f-8395-16b7397855b3,Setting of EusNb2Se4 pellets in Vessel,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_23,process_run
b50f5f85-64ea-41c5-afd1-4a01b2d6a3f7,"Grinding Niobium,Ground Purified Selinium,Iodine",,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
076ab772-ec4f-4f74-be15-19863dcc915f,Heating EusNb2Se4 pellets (sealed vessel),,,,,dwell_1_time,72.0,hour,dwell_1_temperature,800.0,degree_Celsius,,,,,,,,,,,,,,process_run,01_10,process_run
f32551e7-bb9a-4d10-bc05-9df89e6bd2d0,Heating Sulfur,,,,,ramp_up_1_time,1.5,hour,ramp_up_1_rate,50.0,degree_Celsius,dwell_1_time,12.0,hour,dwell_1_temperature,100.0,degree_Celsius,ramp_down_1_time,0.75,hour,ramp_down_1_rate,100.0,degree_Celsius,,process_run,01_20,process_run
995a8c49-888b-465a-8db5-9574b6fbc65c,Purifying Sulfur,,,,,ramp_up_1_time,1.5,hour,ramp_up_1_rate,50.0,degree_Celsius,dwell_1_time,12.0,hour,dwell_1_temperature,100.0,degree_Celsius,ramp_down_1_time,0.75,hour,ramp_down_1_rate,100.0,degree_Celsius,,process_run,01_13,process_run
b2736f8b-a21f-4e94-beab-b021d67a24eb, Quenching EusNb2Se4 pellets (heated in sealed vessel),,,,,Quenching Duration,15.0,second,,,,,,,,,,,,,,,,,process_run,01_10,process_run
1a73fa8f-55b9-4b08-8867-bd0d0d84153c,Sealing EusNb2Se4 pellets (vessel),,,,,,,,,,,,,,,,,,,,,,,,process_run,01_23,process_run
7a793728-5eeb-43c5-8477-04e3a6fbe9b2,Purchasing raw materials,,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
1dfc9902-0e70-424c-9cd9-93ac9b9c3fb9,Sealing EusNb2Se4 pellets (vessel),,,,,,,,,,,,,,,,,,,,,,,,process_run,01_20,process_run
3ec752f1-d62d-43cb-b1d5-303bc3dd89cd,Heating EusNb2Se4 pellets (sealed vessel),,,,,dwell_1_time,72.0,hour,dwell_1_temperature,800.0,degree_Celsius,,,,,,,,,,,,,,process_run,01_23,process_run
0a150347-8a7e-4624-a121-37e813301291,"Grinding Ground Synthesized EuS,Synthesized NbSe2",,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
d6db3ca3-c4ec-4fe0-811a-9726a075f6ab,Heating Ground NbSe2 Mixture,,,,,ramp_up_1_time,9.5,hour,ramp_up_1_rate,102.94117647058823,degree_Celsius,dwell_1_time,72.0,hour,dwell_1_temperature,875.0,degree_Celsius,ramp_down_1_time,4.0,hour,ramp_down_1_rate,0.0,degree_Celsius,,process_run,01_23,process_run
d959855e-9984-4c20-8b87-f6ee7cfba6c0, Chunking Europium,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_23,process_run
c65c975c-3dac-4bdd-a5b1-d848bab0e3f0,Pressing EusNb2Se4 pellets,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_13,process_run
55985e41-4afa-471d-84fe-054954c13c62,Grinding Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_23,process_run
c102fe2d-446a-41d3-9fce-c691269fd381,Pressing Ground EuS and NbSe2 mix,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_23,process_run
d917f2b6-f3bb-4257-94b5-0ad19e92eb3c,Grinding Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_20,process_run
f00b7da6-9e64-4c73-a609-bb357be3e26e, Chunking Europium,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_20,process_run
38c65095-19ac-4ea5-8105-760a95e2d84b,Pressing Ground EuS and NbSe2 mix,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_10,process_run
07175059-b325-4237-ada4-939d50813e9c,Purchasing Sulfur,,,,,,,,,,,,,,,,,,,,,,,,process_run,,process_run
0afb2915-d60c-4087-a7d6-5d023f4379b7,Grinding Synthesized EuS,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_23,process_run
bc4021eb-3039-4420-8546-1ddd9d2963e6,"Grinding Ground Synthesized EuS,Niobium,Ground Purified Selinium",,,,,,,,,,,,,,,,,,,,,,,,process_run,01_20,process_run
797816cf-bba9-49e9-ba32-0c4ffaa6fe72,Grinding Purified Sulfur,,,,,,,,,,,,,,,,,,,,,,,,process_run,01_20,process_run
34fbdd88-4c2e-4df2-9edf-3cc34d2ccb32,Quenching EusNb2Se4 sealed vessel,,,,,Quenching Duration,15.0,second,,,,,,,,,,,,,,,,,process_run,01_13,process_run
